candidate_id,path,classification,reason,owner_guess,current_registry_status,review_decision,can_be_ignored_in_future_scan
candidate-tools-trigger-policy,tools/trigger-policy,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-emit,tools/memory-emit,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-hook_smoke_test,tools/hook_smoke_test,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-verify-and-close,tools/verify-and-close,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-workflow-init,tools/workflow-init,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-test-callback-acceptance,tools/test-callback-acceptance,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-handoff-create,tools/handoff-create,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-governance-hard-gate,tools/governance-hard-gate,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-memory-retrieve,tools/memory-retrieve,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-execution-degradation,tools/probe-execution-degradation,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-session-archive.original,tools/session-archive.original,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-context-retrieve,tools/context-retrieve,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-state-lock,tools/state-lock,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-p0-soak-monitor,tools/p0-soak-monitor,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-execution-policy,tools/probe-execution-policy,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-truth-alignment,tools/probe-truth-alignment,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-route-rebind-guard-heartbeat,tools/route-rebind-guard-heartbeat,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-probe,tools/agent-probe,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-context-compress,tools/context-compress,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-session-start-recovery,tools/session-start-recovery,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-session_reuse_lib.py,tools/session_reuse_lib.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-capsule-builder-v3.py,tools/capsule-builder-v3.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-session-persistence,tools/probe-session-persistence,P2,自动分类为 P2,unknown,unregistered,pending,True
